CT_titles,ECs,common
A Pharmacokinetic Study to Assess the Influence of P-glycoprotein Inhibition and Simultaneous CYP3A4 and P-glycoprotein Induction on E7080 Pharmacokinetics Following Single Dose Oral Administration of 24 mg E7080 to Healthy Volunteers,"[exclusion] subjects who had a positive result from human immunodeficiency virus (HIV) or hepatitis C virus antibody (HCVAb) screening tests, or clinical evidence of active viral hepatitis A or B",1
Association of Fasting GLP-1 Level With the Effect of Linagliptin After an Oral Glucose Tolerance Test in Prediabetes and Type 2 Diabetes Mellitus,[inclusion] hbA1c > 6.5% and <10%,
"An Open-Label, Single-Arm, Multicenter Pharmacokinetic Study of Intramuscular Erwinaze∝ (Asparaginase Erwinia Chrysanthemi)/Erwinase∝ (Crisantaspase) Administered Following Hypersensitivity to E. Coli Asparaginase in Young Adults With Acute Lymphoblastic Leukemia or Lymphoblastic Lymphoma","[inclusion] have a documented ｜ Grade 2 clinical hypersensitivity reaction to native E. coli asparaginase (e.g., Elspar or Kidrolase) or pegaspargase (Oncaspar)",1
"An Open-label, Uncontrolled, Single-arm Pilot Study to Evaluate Safety and Efficacy of Intratumoral Delivery Mediated MG7-targeted Chimeric Antigen Receptor T Cells in Advanced MG7 Positive Liver Metastases",[inclusion] tumor is too big to surgical resection,
Active-Controlled Study to Assess the Efficacy and Safety of DFD-05 in Subjects With Common Warts,[exclusion] subjects unable to comply with study requirements,1
A Phase I/II Study of Fixed-Dose Rate Gemcitabine and Bevacizumab for Postoperative Adjuvant Treatment of Patients With Resected Pancreatic Cancer,[inclusion] creatinine ∥ 2.0 mg/dL,1
"Pharmacokinetics, Glucodynamics, Safety, and Tolerability of LY900014 in Patients With Type 1 Diabetes Mellitus on Continuous Subcutaneous Insulin Infusion Therapy",[inclusion] have provided written consent and are willing to follow study procedures and commit to the study duration,1
"A Randomised, Balanced, Double-blind Two-way Crossover Design Study to Evaluate the Effects of SRC Kinase Inhibitor, Saracatinib, on Brain Activity Associated With Visual Processing in Patients With Parkinson's Disease Psychosis.",[exclusion] participation in another clinical study with an investigational product administered in the last 3 months,1
"Single Center, Open-label Study of Effect of PENNSAID (Diclofenac Sodium Solution Topical) on Coagulation Parameters (PT, PTT, INR and Platelet Function) in Patients With Moderate to Severe Osteoarthritis Pain of the Knee Taking Anticoagulant Medication",[exclusion] serum creatinine > than or equal 1.5 x ULN,1
"A Phase 2, Randomized, Double Blind, Placebo , Controlled Study To Evaluate The Administration of CN-105 In Participants With Acute Supratentorial Intracerebral Hemorrhage",[inclusion] stated willingness to comply with all study procedures and availability for the duration of the study,1
A Randomized Phase III Trial Of Thalidomide (NSC # 66847) Plus Dexamethasone Versus Dexamethasone In Newly Diagnosed Multiple Myeloma,[inclusion] no prior biologic therapy for multiple myeloma,
OPtimal Timing of Thromboprophylaxis in Traumatic IntraCranial Haemorrhage (OPTTTICH Feasibility Study),"[exclusion] coagulopathy (defined as international normalized ratio (INR) values >1.5 times the upper limit of normal, or partial thromboplastin time (PTT) values >1.5 times the upper limit of normal) at 24 hours after admission",
Quetiapine Compared With Placebo in the Management of Fibromyalgia,[exclusion] not under physician's care for DM,
"A Phase 2, Randomized Double-Blind, Placebo-Controlled, Multi-Center Study to Assess the Efficacy, Safety, and Tolerability of Oral LPCN 1148 in Male Subjects With Cirrhosis of the Liver and Sarcopenia",[exclusion] history of hemochromatosis,
"A PHASE 1, RANDOMIZED, DOUBLE-BLIND, SPONSOR-OPEN, VEHICLE-CONTROLLED, FIRST-IN-HUMAN, MULTIPLE-DOSE STUDY, TO INVESTIGATE THE SAFETY, TOLERABILITY, AND PHARMACOKINETICS, OF TOPICALLY ADMINISTERED PF-07295324 AND PF-07259955, IN HEALTHY ADULT PARTICIPANTS",[exclusion] use of prescription or nonprescription drugs and dietary and herbal supplements within 7 days or 5 half lives (whichever is longer) prior to the first dose of study intervention. (Refer to Section 6.8 Concomitant Therapy for additional details),1
Phase I Study of Autologous Transgenic T-Cells Expressing High Affinity Mesothelin-Specific T-Cell Receptor (TCR) (FH-TCR T?s??) in Patients With Metastatic Pancreatic Ductal Adenocarcinoma,[inclusion] capable of understanding and providing a written informed consent,1
Randomized Trial of Orathecin and Gemcitabine Versus Placebo and Gemcitabine in Patients With Non-Resectable Pancreatic Cancer Who Have Not Already Received Chemotherapy,[inclusion] the patient has adequate hepatic and renal function,1
Phase I/Ib Trial of ATR Inhibitor BAY 1895344 in Combination With FOLFIRI in GI Malignancies With a Focus on Metastatic Colorectal and Gastric/Gastroesophageal Cancers,[exclusion] patients who were unable to tolerate prior irinotecan treatment are excluded from this study,1
"A Phase 2, Randomized, Open-label, Active Controlled, Dose Finding Study of Long-acting Hybrid Fc Fused Recombinant Human Growth Hormone (GX-H9) in Paeditaric Patients With Growth Hormone Deficiency",[inclusion] normal 46 XX karyotype for girls,1
A Randomized Phase II Study of Bevacizumab in Combination With Docetaxel in Locally Advanced Breast Cancer,[inclusion] bilirubin normal (no greater than 2 times upper limit of normal [ULN] in patients with an inherited disorder),1
"American Ginseng to Improve HIV-Associated Fatigue: A Randomized, Placebo-Controlled, Multiple-Dose Escalation Clinical Trial",[exclusion] untreated hypothyroidism (TSH >4.5 milli-international units per liter (mIU/L)),
"A Randomized, Comparison of the Effects of Ganfort and Duotrav on Intraocular Pressure in Patients With Primary Open Angle Glaucoma or Ocular Hypertension Open Label/Evaluator-blind/Cross-over Study",[exclusion] ocular surgery within 3 months,
Multicenter Randomized Trial Evaluating FOLFIRI Plus Cetuximab Versus FOLFIRI Plus Bevacizumab in First Line Treatment of Metastatic Colorectal Cancer.,[exclusion] known glucuronidation-deficiency (special screening not required),
A Phase I Study of S-1 With Concurrent Radiotherapy in Elderly Patients With Esophageal Cancer,[exclusion] prior systemic chemotherapy or radiation therapy for esophageal cancer,
"A Phase III Randomized, Open-Label Clinical Trial of BBI-608 Plus Weekly Paclitaxel Versus Weekly Paclitaxel Alone in Patients With Advanced, Previously Treated, Non-Squamous Non-Small Cell Lung Cancer",[exclusion] has a corrected QT interval (QTc) > 470 ms or has an electrocardiogram (ECG) with a new abnormal finding that is clinically significant,
"A Phase III, Open-Label, Multicenter Trial to Evaluate Ejection Fraction, End-Diastolic and End-Systolic Volumes, by Unenhanced and DEFINITY∝-Enhanced 2D-Echo and Magnetic Resonance Imaging",[exclusion] unstable cardiovascular status defined as: acute myocarditis or pericarditis,
A Phase 1 Safety and Pharmacokinetic Study of PC-1005 (MIV-150/Zinc Acetate/Carrageenan Gel) Administered Rectally to HIV-1 Seronegative Adults,"[inclusion] for participants of childbearing potential: Per participant report at Enrollment, using an effective method of contraception and intending to use an effective method for the duration of study participation; these include: Hormonal methods, excluding vaginal rings",1
"A Phase III, Randomized, Comparative, Open-label Study of Intravenous Iron Isomaltoside 1000 (Monofer∝) Administered as Maintenance Therapy by Single or Repeated Bolus Injections in Comparison With Intravenous Iron Sucrose in Subjects With Stage 5 Chronic Kidney Disease on Dialysis Therapy (CKD-5D)",[inclusion] life expectancy beyond 12 months by Principal Investigator's judgement,1
Phase II Randomised Clinical Trial Evaluating an EGFR Tyrosine Kinase Inhibitor (EGFR-TKI) Versus an EGFR-TKI Combined With an Anti-oestrogen Treatment (Fulvestrant) in Women With Advanced Stage Non-squamous Lung Cancer,"[inclusion] histologically confirmed predominant non-squamous, non-small cell lung cancer",
A Phase II Trial to Assess the Activity of NY-ESO-1 Targeted T Cells in Advanced Oesophagogastric Cancer,"[exclusion] patients known or found to be serologically positive for Hepatitis B, C, HIV or Human T cell lymphotropic Virus (HTLV)",1
A Safety and Dose-Determining Study of CMX001 In Infants With Neonatal Herpes Simplex Virus (HSV) Infection Involving the Central Nervous System (CNS Disease),"[exclusion] birth weight < 2,500 grams",
Acute Myocardial Necrosis and Depression: Antiplatelet Effect of Reuptake Inhibition of Serotonin: The ANDROS Study,"[exclusion] genetic galactose intolerance, malabsorption of glucose and galactose, lactase deficiency",
